Rank,Symbol,Şirket Adı,Sektör,Güncel Fiyat ($),3A Hedef Fiyat ($),Analist Hedefi ($),Beklenen Kar (%),Piyasa Değeri (M$),5G Momentum (%),30G Momentum (%),Analist Önerisi,Analist Sayısı,Risk Seviyesi,Giriş Noktası
1,MSTR,Strategy Inc (Bitcoin Proxy),Teknoloji/Bitcoin,166.52,310.00,371.07,86.2,57744,29.45,24.71,Strong Buy,14,YÜKSEK,"Şimdi veya $140 altında"
2,SERV,Serve Robotics Inc.,Endüstriyel/Otonom,9.57,18.00,19.00,88.1,724,15.86,1.38,Strong Buy,7,ÇOK YÜKSEK,"$8-10 aralığı - şimdi"
3,SOUN,SoundHound AI Inc.,Teknoloji/Ses AI,8.08,14.00,14.63,73.3,3444,25.66,0.12,Strong Buy,8,ÇOK YÜKSEK,"$7.50 altında agresif"
4,QUBT,Quantum Computing Inc.,Teknoloji/Kuantum,9.57,16.00,17.40,67.2,2149,35.55,25.92,Spekülatif Buy,5,ÇILGIN YÜKSEK,"$8.00-8.50 pullback bekle"
5,IONQ,IonQ Inc.,Teknoloji/Kuantum,46.09,62.00,65.29,34.5,16946,60.09,29.00,Buy,13,YÜKSEK,"$38-42 - MUTLAKA BEKLE"
6,RGTI,Rigetti Computing Inc.,Teknoloji/Kuantum,19.81,30.00,31.54,51.4,6580,34.95,16.46,Buy,11,YÜKSEK,"$17-18 pullback"
7,APLD,Applied Digital Corp.,Teknoloji/AI Veri Merkezi,31.53,47.00,50.09,49.1,9010,20.07,25.42,Strong Buy,11,YÜKSEK,"$29-32 aralığı"
8,APP,AppLovin Corporation,İletişim/Ad Tech AI,477.20,580.00,646.86,21.5,161272,21.93,-4.97,Strong Buy,28,ORTA-YÜKSEK,"$440-460 pullback"
9,RXRX,Recursion Pharmaceuticals,Sağlık/AI İlaç,3.78,6.50,6.71,72.0,1997,15.24,9.25,Buy,7,YÜKSEK,"$3.50-4.00 - şimdi"
10,HOOD,Robinhood Markets Inc.,Fintek/Trading,90.75,105.00,101.40,15.7,81703,31.16,17.72,Buy,24,ORTA-YÜKSEK,"$82-88 pullback"
11,PLTR,Palantir Technologies Inc.,Teknoloji/AI Hükümeti,146.39,185.00,186.47,26.4,350117,14.31,-6.85,Buy,25,ORTA-YÜKSEK,"$140-150 - şimdi"
12,NVDA,NVIDIA Corporation,Teknoloji/AI Chip,201.68,255.00,268.61,26.5,4901832,6.92,13.42,Strong Buy,56,ORTA,"$195-210 - şimdi"
13,TSM,Taiwan Semiconductor Mfg.,Teknoloji/Chip Üretim,370.50,440.00,457.73,18.8,1921561,-0.03,9.64,Strong Buy,18,ORTA,"$360-375 - şimdi"
14,RKLB,Rocket Lab Corporation,Endüstriyel/Uzay,84.80,95.00,86.56,12.0,49018,24.61,20.95,Buy,15,YÜKSEK,"$75-80 pullback"
15,AMD,Advanced Micro Devices,Teknoloji/AI Chip,278.39,310.00,291.52,11.4,453890,13.61,44.67,Buy,46,ORTA,"$265-275 pullback"
16,ARM,Arm Holdings plc,Teknoloji/Chip Mimarisi,166.73,185.00,169.59,11.0,177067,11.95,45.77,Buy,36,ORTA-YÜKSEK,"$155-165 pullback"
17,CRWD,CrowdStrike Holdings Inc.,Teknoloji/Siber Güvenlik,423.95,480.00,489.86,13.2,107520,11.85,-1.17,Buy,50,ORTA,"$410-435 - şimdi"
18,LUNR,Intuitive Machines Inc.,Endüstriyel/Uzay/Ay,27.58,30.00,23.78,8.8,4395,17.01,56.44,Spekülatif Buy,9,ÇOK YÜKSEK,"$22-25 pullback - DİKKAT"
19,SMCI,Super Micro Computer Inc.,Teknoloji/AI Sunucu,28.56,38.00,33.20,33.1,17150,13.06,-8.78,Hold,15,YÜKSEK,"$26-29 - kademeli"
20,CAVA,CAVA Group Inc.,Tüketici/Restoran,94.78,105.00,85.83,10.8,11030,11.58,20.60,Buy,24,ORTA,"$88-90 pullback"
